slug,url,title,description,image
"guitar-fretboard-navigation","https://mikenelsonguitarlessons.co.nz/blog/guitar-fretboard-navigation","Guitar Fretboard Navigation: Cross-String Movement Formulas","Master practical techniques for finding notes and intervals across guitar strings. Learn mathematical relationships that make fretboard navigation easy.","https://mikenelsonguitarlessons.co.nz/guitar-tuning-thumbnail.svg"
"guitar-picking-technique-guide","https://mikenelsonguitarlessons.co.nz/blog/guitar-picking-technique-guide","Guitar Picking Technique: Complete Progressive Guide","Master guitar picking from basic grip to advanced motion mechanics. Progressive guide covering pick slanting, string crossing, and escape techniques.","https://mikenelsonguitarlessons.co.nz/mike-nelson-guitar-logo.jpg"
"guitar-strumming-patterns","https://mikenelsonguitarlessons.co.nz/blog/guitar-strumming-patterns","Guitar Strumming Patterns Guide","Learn guitar strumming patterns with interactive audio examples. Master timing and rhythm with 11 progressive patterns from beginner to advanced, plus use a free interactive pattern builder to create custom strumming patterns.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
"how-to-read-chord-diagrams","https://mikenelsonguitarlessons.co.nz/blog/how-to-read-chord-diagrams","How to Read Guitar Chord Diagrams - Video Tutorial","Learn to read guitar chord diagrams with this comprehensive video tutorial. Understand chord charts, symbols, and string/fret layouts.","https://mikenelsonguitarlessons.co.nz/youtube-logo.svg"
"introducing-practicetrack","https://mikenelsonguitarlessons.co.nz/blog/introducing-practicetrack","Introducing PracticeTrack: Your Musical Journey Companion","Discover PracticeTrack, a free practice tracking app designed to help musicians improve through deliberate, structured practice with goals and analytics.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
"key-chords-explorer","https://mikenelsonguitarlessons.co.nz/blog/key-chords-explorer","Key Chords Explorer: Interactive Chord Library","Explore chords within different keys with interactive chord library. Find major, minor, and seventh chords for any key.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"kiesel-a2-7-string-review","https://mikenelsonguitarlessons.co.nz/blog/kiesel-a2-7-string-review","My Kiesel A2 7-String","Complete guide to importing a Kiesel A2 7-String to New Zealand. Real import costs ($4,385 NZD), customs process, GST fees, and honest review.","https://mikenelsonguitarlessons.co.nz/Kiesel logo.jpg"
"major-scale-guitar-guide","https://mikenelsonguitarlessons.co.nz/blog/major-scale-guitar-guide","Major Scale Guitar Guide","Master essential guitar shapes and patterns with comprehensive major scale guide. Learn one-octave shapes, modes, and arpeggios.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"moveable-guitar-chord-shapes","https://mikenelsonguitarlessons.co.nz/blog/moveable-guitar-chord-shapes","Moveable Guitar Chord Shapes Library","Master moveable chord shapes for major, minor, diminished, seventh, extended, suspended, and altered chords.","https://mikenelsonguitarlessons.co.nz/mike-nelson-guitar-logo.jpg"
"musical-terms-guitarists-guide","https://mikenelsonguitarlessons.co.nz/blog/musical-terms-guitarists-guide","Musical Terms for Guitarists: Complete A-Z Guide","Master essential musical terms with complete A-Z guide for guitarists. Learn theory concepts, techniques, and terminology.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"open-chord-library","https://mikenelsonguitarlessons.co.nz/blog/open-chord-library","Open Chord Library: Essential Guitar Chords","Master essential open chords with comprehensive library. Interactive diagrams for major, minor, seventh, and suspended chords perfect for beginners.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"pentatonic-scale-exercises","https://mikenelsonguitarlessons.co.nz/blog/pentatonic-scale-exercises","Pentatonic Scale Exercises","Unlock your picking technique with focused pentatonic scale exercises. Practice alternate picking, triplets, and legato patterns with interactive tabs.","https://mikenelsonguitarlessons.co.nz/mike-nelson-guitar-logo.jpg"
"picking-finger-exercises","https://mikenelsonguitarlessons.co.nz/blog/picking-finger-exercises","Picking and Finger Exercises","Develop both hands with focused picking and fretting drills. Build alternate picking accuracy, string crossing, and left-hand independence using varied finger sequences and string patterns.","https://mikenelsonguitarlessons.co.nz/Finger Exercise Blog Post.png"
"rhythm-library","https://mikenelsonguitarlessons.co.nz/blog/rhythm-library","Rhythm Library - Guitar Lesson","Learn different rhythm patterns and techniques on guitar with interactive tablature examples.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
"rhythm-tool","https://mikenelsonguitarlessons.co.nz/blog/rhythm-tool","Learn Rhythm with the Interactive Rhythm Tool","Explore rhythm fundamentals, time signatures, and note values with interactive audio and notation. Try the free Rhythm Tool.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
"scale-explorer-tool","https://mikenelsonguitarlessons.co.nz/blog/scale-explorer-tool","Scale Explorer - Interactive Guitar Learning Tool","Learn guitar scales with this free interactive Scale Explorer. Start with the major scale and understand how all other scales relate to it.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
"triads-on-3-string-sets","https://mikenelsonguitarlessons.co.nz/blog/triads-on-3-string-sets","Triads on 3-String Sets","Master triads on 3-string sets with comprehensive guide. Learn major, minor, diminished, and augmented triads with interactive diagrams.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"understanding-guitar-fretboard","https://mikenelsonguitarlessons.co.nz/blog/understanding-guitar-fretboard","Guitar Fretboard: String Tuning Explained","Learn why guitar strings are tuned the way they are. Understand the logic behind standard tuning and how it affects your playing.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"wellington-music-stores","https://mikenelsonguitarlessons.co.nz/blog/wellington-music-stores","Wellington Music Stores Disappearing","The closure of Kapiti Music marks the end of an era for local music stores in the Wellington region.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
"what-is-a-chord","https://mikenelsonguitarlessons.co.nz/blog/what-is-a-chord","What is a Chord? Structure, Intervals, and Types","Learn what guitar chords are, how they're built from intervals, and how major, minor and seventh chords work. Understand open vs moveable shapes with clear, beginner-friendly examples.","https://mikenelsonguitarlessons.co.nz/mike-nelson-guitar-logo.jpg"
"when-should-you-start-learning-guitar","https://mikenelsonguitarlessons.co.nz/blog/when-should-you-start-learning-guitar","When Should You Start Learning Guitar?","Discover the optimal age to start learning guitar based on research. Learn about neuroplasticity and adult learning advantages.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"why-is-guitar-tuned-the-way-it-is","https://mikenelsonguitarlessons.co.nz/blog/why-is-guitar-tuned-the-way-it-is","Why is Guitar Tuned This Way?","Discover the history and logic behind standard guitar tuning. Learn why EADGBE became the standard and how it affects your playing.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"your-first-guitar-chords","https://mikenelsonguitarlessons.co.nz/blog/your-first-guitar-chords","Your First Guitar Chords: A Complete Beginner Guide","Learn your first 8 essential guitar chords with interactive diagrams and smooth transition tips. Master A, E, G, D, C, Em, Am, and Dm chords.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
